Detailed Location,Began,Duration(Days),Year,Dead,Displaced,Damage(USD),Magnitude,Main Cause,Severity,Affected(sqkm),Longitude,Latitude,Magnitude Scale
"Southern China - Guangdong province - Meizhou, Heyuan and Shaoguan cities.Southern Hunan province - Linwu county. Chansha, Henyang. Huaihua. Jiangxi province - Jian city. Ganzhou. Guangchang county. Fujian province - Sanming City. Jiangle County.",2003-05-15,7,2003,83,18000,135000000,6.3,Torrential Rain,1.0,317905,114.939,26.5695,Medium
"Guangdong province - Shaoguan city, Lechang district, Ruyuan county ",2002-10-28,6,2002,0,50000,Unknown,4.7,Torrential Rain,1.0,7741,113.385,24.2694,Medium
Xinjiang Uighur Autonomous Region - Kashi Prefecture. Gez River. Manas River   ,2002-08-15,5,2002,0,0,Unknown,5.2,Torrential Rain,2.0,17448,75.4151,39.7325,Medium
Yunnan Province - Xinping County. Xiaowan Hydropower Station on Lanchang River. Yanjin.  floods and landslides in 14 districts.,2002-08-14,7,2002,106,13000,4200000,5.1,Torrential Rain,1.0,17267,99.4409,25.5714,Medium
"Jiangxi Province - 10 counties. Gang RiverZhejiang Province - Jinhua, Quzhou and Lishui regions. Quzhou City.  ",2002-08-13,5,2002,21,0,22000000,5.1,Torrential Rain,1.0,28018,119.44,28.8575,Medium
Sichuan Province - Chengdu city.,2002-08-08,6,2002,5,0,12000000,3.5,Torrential Rain,1.0,522,104.103,30.6894,Low
"Hunan province -  Dongting Lake area. Chenzhou city. Anren county. Cities: Hengyang, Yongzhou, Zhuzhou, Changsha, Chenglingji, Yueyang, Yangliuyuan. Rivers: Zishui,  Xiangjiang, Yangtze, Xinqiang.",2002-08-06,23,2002,124,270000,2200000000,6.3,Torrential Rain,1.0,94511,112.817,26.7781,Medium
"Guangdong province - Wuhua county in Meizhou city. Cities: Shaoguan, Lianzhou. Beijiang river ",2002-08-05,8,2002,10,1500,Unknown,4.2,Torrential Rain,1.0,2120,116.272,24.4607,Medium
Gansu Province - Dingxi County. ,2002-08-04,2,2002,28,0,Unknown,4.0,Torrential Rain,1.0,5174,104.559,35.6268,Low
"Southern Liaoning province - cities of Anshan, Yingkou and Dashiqiao.",2002-08-03,4,2002,2,0,Unknown,4.4,Torrential Rain,1.0,6075,122.641,40.974,Medium
"Xinjiang Uygur Autonomous Region - Counties: Baicheng, Jeminay. Altai, Hotan, Aksu, Ili. ",2002-07-21,9,2002,15,10000,38600000,6.4,Torrential Rain,2.0,127556,89.0049,46.3429,High
Shaanxi Province - Zichang and Qingjian counties.,2002-07-04,4,2002,5,0,Unknown,4.3,Torrential Rain,1.0,4728,109.831,37.0417,Medium
"Guangxi Zhuang Autonomous Region -  Cities: Liuzhou, Guilin, Dongxing, Hezhou.Western Guangdong province - Xijiang and Beijiang Rivers and tributaries.Yunnan province - Tonghai county.",2002-06-29,8,2002,11,80000,Unknown,6.2,Torrential Rain,1.0,179044,110.702,25.0185,Medium
"Hunan Province - Yangtze River, Dongting Lake, Xiangjiang River valley.Yangtze River in Hubei, Anhui and Jiangsu Provinces.July 5 - Lower reaches of Yangtze above danger mark",2002-06-30,14,2002,0,0,Unknown,6.9,Torrential Rain,1.0,598178,115.253,29.6633,High
"Southern Shaanxi Province - Counties: Zhenba, Xixiang and Ningshan.",2002-06-21,5,2002,0,0,Unknown,5.1,Torrential Rain,1.0,22455,107.99,33.0246,Medium
"Guangxi Zhuang Autonomous Region -  Counties: Yongfu, Xing'an. Gulin City,  Lijiang River",2002-06-14,9,2002,0,8000,200000000,5.6,Torrential Rain,2.0,20154,110.574,25.3411,Medium
"Jiangxi Province - Fuzhou City, Fuhe River",2002-06-13,12,2002,24,150000,Unknown,5.2,Torrential Rain,1.0,13634,116.52,27.8524,Medium
"Hunan Province - 148 townships in 10 counties. Cities:  Chenzhou, Yongzhou, Zhuahou, Zhangjiajie, Hengyang. Rivers:  Xiangjiang, Zishui, Yuanjiang and Lishui, Dongting Lake. Yangtze RiverSichuan province - Chongqing municipality. Cities: Nanchong and Suining.  ",2002-06-15,10,2002,53,32000,50740000,6.1,Torrential Rain,1.0,130291,111.824,28.0222,Medium
"Fujian Province - Counties:  Minqing, Jianning. Towns: Fuzhou, Sanming, Junkou . Minjiang River and its tributaries Jinxi, Shaxi and Futunxi.  ",2002-06-12,8,2002,11,0,12000000,5.9,Torrential Rain,2.0,50532,118.078,26.5167,Medium
"Shaanxi Province -Counties:  Foping, Ningshan, Changan, Yangxian, Shiquan, HingshanCities:  Xian Rivers:  Hanjiang, Ziwu, Xun Sichaun Province - Chongqing Municipality Cities:  Suining, Hanzhong, NanchongRivers: Yangtze, JialinjiangGuizhou Province -Hubei Province -",2002-06-08,11,2002,326,300000,400000000,6.7,Torrential Rain,2.0,252147,108.51,33.2088,High
Xinjiang Uygur Autonomous Region - Toksun County in Turpan Prefecture. Ili district. Toli County. Nilka County in western Xinjiang.,2002-05-23,31,2002,22,0,50000000,6.9,Torrential Rain,2.0,124885,82.5486,43.3672,High
Hunan Province - Yangtze River,2002-05-22,8,2002,0,0,943000000,6.1,Torrential Rain,1.0,156149,111.889,27.3326,Medium
Xinjiang Region -  leak in Xiker reservoir floods several villages in southern part of region.,2002-03-10,3,2002,0,0,Unknown,3.5,"Dam/Levy, break or release",1.0,1017,77.3556,39.6906,Low
City of Wuhai in western Inner Mongolia Autonomous Region - ice flood on the Yellow River ,2001-12-17,2,2001,0,4000,Unknown,4.5,Ice jam/break-up,1.0,17366,108.573,40.7369,Medium
"Sichuan Province - cities: Jinyang,, Deyang, Mianyang ",2001-09-19,4,2001,25,100000,240000000,4.8,Torrential Rain,1.0,14700,104.595,31.0389,Medium
"Guangdong Province - Zhanjiang City area - 125 villages have been besieged by flood waters. Maoming, Wuchuan, Lianjiang. Hainan Province -  ""most of the regions of the island province"" including Changjiang County. Guangxi Province -",2001-08-28,13,2001,4,50000,24000000,5.3,Tropical Cyclone,1.0,14470,109.503,19.39,Medium
Yunnan Province - Funing county in Wenshan Zhuang and Miao Autonomous Prefecture. Funing town. Puting River.,2001-08-25,1,2001,15,2000,Unknown,3.7,Torrential Rain,1.0,5570,106.122,23.6726,Low
"Guangdong Province - Shaoguan city area, cities of Chaozhou and Jieyang. Beijiang River. -- Hunan Province - southern area. Chenzhou city",2000-09-01,6,2000,47,46000,169000000,5.2,Torrential Rain,1.0,25899,113.483,25.2293,Medium
Tibet Autonomous Region - Counties: Gyangze and Bainang. Xigaze City. Nyangqu River,2000-08-28,9,2000,0,1300,Unknown,4.9,Torrential Rain,1.0,9210,89.3845,28.9955,Medium
"China - Jiangsu Province - Northern coastal area, Xiangshui County. -- Russia - Primorye region - 11 districts in the southern and central parts of the Maritime Territory as well as the cities of Nakhodka, Ussuriisk, and Spassk-Dalny. Vladivostok area. (hit by Typhoon Prapiraoon on Sept 1) -- North and South Korea - Imjin River",2000-08-30,12,2000,31,14140,1000000,6.0,Tropical Cyclone,1.0,81863,132.058,43.7739,Medium
Gansu Province - Counties: Dangchang and Minxian ; district of Longnan; River: Minjiang. -- Sichuan Province - Counties: Gulin and Xuyong. -- Guizhou Province - town and county of Duyun,2000-05-31,20,2000,94,8725,81500000,6.7,Torrential Rain,2.0,114035,105.491,32.3632,High
"Hong Kong, rural New TerritoriesGuangdong Province - Guangzhou cityFujian Province - Xiamen, Zhangzhou, Quanzhou, Putian, Fuzhou",1999-09-15,4,1999,8,10000,24000000,5.9,Tropical Cyclone,1.0,177650,116.022,24.975,Medium
"Zhejiang Province - Lishui prefecture: Wenzhou, Taizhou, 1,028 surrounding villagesGuangdong, Jiangxi Provinces also affected",1999-09-06,2,1999,153,720000,277000000,5.4,Torrential Rain,1.0,112209,117.386,27.0353,Medium
"Hong Kong, New Kowloon, and Sham Tseng in New Territories",1999-08-21,5,1999,1,352,Unknown,5.7,Torrential Rain,1.0,111159,113.711,23.4891,Medium
Hunan Province - Chenzhou city ,1999-08-12,5,1999,77,120000,181000000,5.7,Torrential Rain,1.0,104528,111.384,27.0564,Medium
"Quinghai Province - Ping'an, Huzhu, Minhe",1999-08-04,4,1999,8,24000,20500000,5.8,Torrential Rain,1.0,147169,98.9663,30.4623,Medium
Ningxia Hui autonomous region - Yanchi County,1999-07-13,3,1999,2,0,3900000,5.0,Torrential Rain,1.0,35711,105.127,36.4956,Medium
"Provinces - Hubei, Anhui, Jiangxi, Zhejiang, Hunan, Henan, Sichuan, Yunnan, Guangxi",1999-06-23,42,1999,725,5530000,8000000000,7.2,Torrential Rain,1.0,362133,111.673,28.5161,High
"Sichuan Province: Chengdu city, 23 counties",1999-04-25,66,1999,49,830000,24200000,6.9,Torrential Rain,1.0,123894,103.202,28.1269,High
Qinghai province - 15 counties,1999-06-12,8,1999,27,100000,60404.711567502265,5.9,Torrential Rain,1.0,97849,95.886,34.8414,Medium
"Provinces - Fujian, Jiangxi, Zhejiang: Cities of Nanping, Sanming, Ningde, Longyan, Hangzhou",1999-05-26,29,1999,11,0,Unknown,6.3,Torrential Rain,1.0,73327,116.149,27.9323,Medium
"Hunan Province - ChangshaJiangxi Province - 19 villages",1999-05-18,4,1999,3,69200,Unknown,5.6,Torrential Rain,1.0,100713,111.865,31.4841,Medium
"Provinces - Heilongjiang, Inner Mongolia, Liaoning - Harbin, Qigihaer, Dorbenxin, Akso, Dorbod, Xingzhan, Guqia",1998-08-08,38,1998,89,2160000,964000000,7.7,Torrential Rain,2.0,620830,123.35,46.5755,High
"Hunan Province - Wuhan, Changsha",1998-06-12,16,1998,40,400000,481000000,6.7,Torrential Rain,2.0,170585,113.649,28.3755,High
"Provinces - Fujian, Zhejiang - Minqing, Minhou, Nanping, Qiantang, Minjiang",1998-06-12,14,1998,126,750000,210000000000,6.2,Torrential Rain,2.0,54190,119.82,27.6882,Medium
"Jiangxi Province - Jiujiang, Jingdezhen",1998-06-12,28,1998,51,434500,240000000,6.3,Torrential Rain,2.0,36417,117.451,28.8404,Medium
Sichuan Province - Chongqing,1998-06-18,2,1998,27,0,Unknown,4.8,Torrential Rain,1.0,29725,105.422,29.6288,Medium
Guangxi Province - Guilin ,1998-06-15,14,1998,66,500000,221700000,5.9,Torrential Rain,2.0,26915,109.874,24.8178,Medium
"Guangdong Province - Yangjiang, Shaogun",1998-06-25,12,1998,180,150000,205000000,6.0,Torrential Rain,2.0,41223,112.868,23.1199,Medium
"Provinces - Hubei, Anhui - Zianning, Huanggan, Huangshi, Yichang, Jinshou, Xining, Tunxi, Jixi, Huangshan, Chizhou, Anqing, Xuancheng, Tongling",1998-06-18,26,1998,164,370000,Unknown,6.9,Torrential Rain,1.0,305479,114.847,30.3363,High
"Sichuan Province - Chongqing, Chendu, Luzhou, Nonchong, Guangyuan, Yanbain",1998-06-27,17,1998,170,240000,312500000,6.6,Torrential Rain,1.0,235631,102.714,28.9415,High
Shanxi Province,1998-07-04,17,1998,113,90000,Unknown,6.1,Torrential Rain,1.0,72123,111.905,36.6228,Medium
"Provinces - Hubei, Hunan, Jiangxi - Chenglingli, Wuhan, Jiujiang, Yichang, Jiayu, Shashi, Changde, Jiujiang, Jiangzhou, Jingzhou, Li, Huarong",1998-07-17,20,1998,345,3120000,1310000000,7.2,Torrential Rain,2.0,367328,112.799,29.3931,High
"Provinces - Hubei, Hunan, Jiangxi",1998-08-05,34,1998,575,1115000,3710000000,7.3,Torrential Rain,2.0,292972,112.322,28.8202,High
"Provinces - Sichaun, Guizhou - Chongqing, Jiangjin, Nanchuan, Fengdu, Wuxi",1998-08-03,5,1998,90,0,Unknown,5.8,Torrential Rain,1.0,133217,106.413,28.2752,Medium
"Sichuan Province - Chongqing, Ziyang, Guangyang",1998-08-19,11,1998,19,0,Unknown,5.6,Torrential Rain,1.0,35148,105.065,28.6274,Medium
northern rural New Territories,1998-06-09,4,1998,1,24,Unknown,4.4,Torrential Rain,1.0,5843,114.339,22.6488,Medium
"Provinces - Guangdong, Guangxi",1998-05-24,9,1998,15,1300,34700000,6.2,Torrential Rain,1.0,164944,112.446,23.4359,Medium
"Hunan Province - Changsha, Loudi, Shaoyang",1998-05-20,6,1998,58,106000,247000000,5.9,Torrential Rain,2.0,70343,112.018,26.7131,Medium
Sichuan Province,1998-05-20,5,1998,10,20000,18000000,6.0,Torrential Rain,1.0,216145,104.391,30.0976,Medium
"Hubei Province - Xiangfan, Zaoyang, Nanzhang, Xiangyang, Yunyang, Zhongxiang, Jingshan, Changyang, Yichang, Songzi, Xiantao, Suizhou",1998-05-20,6,1998,8,15000,Unknown,6.0,Torrential Rain,1.0,149532,113.059,31.1389,Medium
"Gansu Province - Yongdeng County, Gaolan County, Ningxia",1998-05-20,2,1998,37,3600,14400000,5.0,Torrential Rain,1.0,51481,107.668,36.0394,Medium
"Xinjiang Uygur Autonomous Region - Xinjiang Yili Prefecture - Xinyuan County, Huocheng County",1998-05-16,5,1998,11,508,3600000,6.0,Torrential Rain,1.0,178662,83.6735,40.9204,Medium
Fujian province - Nanping city,1998-05-12,6,1998,11,0,48000000,5.6,Torrential Rain,1.0,60529,117.939,25.1204,Medium
"Hunan Province - Xiangxi autonomous prefecture, Jishou city, Huaihua, Loudi, Zhangjiajie, Yiyang, Changde",1998-05-01,5,1998,0,2000,Unknown,5.7,Torrential Rain,1.0,96993,111.459,28.7172,Medium
"Sichuan Province - Dachuan Prefecture - Linshui, Dazhu, Kaijiang, Qu Counties",1998-05-07,7,1998,9,0,Unknown,5.7,Torrential Rain,1.0,79574,108.082,30.511,Medium
"Kennedy Town, Mongkok, Yuen, Long Man, Kam, West Kowloon",1998-04-26,2,1998,0,0,Unknown,4.0,Torrential Rain,1.0,5592,113.915,22.4657,Low
"Provinces - Hunan, Fujian, Changsa, Nanchang, Jiujiang, Jiangxi, Xiangjian",1998-03-06,8,1998,2,130000,Unknown,6.5,Torrential Rain,2.0,199739,113.08,30.3557,High
"Hunan province - Hengyang, Zhuzhou, Chenzhou",1997-09-01,8,1997,63,92000,Unknown,6.0,Torrential Rain,1.0,124671,112.648,27.2307,Medium
Guangxi province - Gongcheng,1997-08-07,8,1997,13,0,Unknown,5.3,Torrential Rain,1.0,25075,110.494,24.9893,Medium
Sichuan Province - Xingwen,1997-07-15,4,1997,48,0,420000,4.9,Torrential Rain,1.0,20184,105.185,28.47,Medium
Gansu Province,1997-07-17,6,1997,19,0,Unknown,6.2,Torrential Rain,2.0,124210,104.42,35.2403,Medium
"Yunnan Province - Nujiang Prefecture, Qujing Prefecture, Jinping county",1997-07-10,21,1997,301,300000,Unknown,5.8,Torrential Rain,1.0,27345,99.4781,26.94,Medium
Kowloon ,1997-06-02,3,1997,1,0,Unknown,3.5,Torrential Rain,1.0,1017,114.213,22.3357,Low
Sichuan Province - Liangshan region,1997-06-06,5,1997,150,0,Unknown,4.7,Torrential Rain,1.0,10074,104.958,31.2078,Medium
"Yunnan Province: Zhaotong Prefecture - Yiliang, Daguan, Yanjin, Zhenxiong",1997-06-03,8,1997,40,0,Unknown,5.4,Torrential Rain,1.0,28999,103.687,26.8739,Medium
"Hunan Province - Changsha, Liuyang",1997-06-08,5,1997,56,383000,2675000000,5.1,Torrential Rain,1.0,25292,113.235,28.2139,Medium
Fujian Province,1997-05-05,7,1997,19,0,9900000,5.7,Torrential Rain,1.0,74261,117.365,25.4892,Medium
Guangxi Province - Beiliu,1997-05-09,5,1997,111,0,Unknown,6.0,Torrential Rain,1.0,183090,109.438,23.8505,Medium
Guangdong Province,1997-05-03,14,1997,135,360000,50000000,6.7,Torrential Rain,2.0,174990,113.348,22.9053,High
"Xinjiang Uygur Autonomous Region - Xinyuan County, Ili Prefecture",1997-01-14,5,1997,21,50400,Unknown,5.5,Snowmelt,1.0,62966,83.1199,43.4361,Medium
"Guangdong Province - Zhanjiang, Maoming, YangjiangHong Kong",1997-08-19,7,1997,345,54000,Unknown,5.6,Tropical Cyclone,1.0,55174,110.884,21.6936,Medium
"Anhui Province - Jinhua City, WenlingZhejiang Province - Taizhou city, Shanghai",1997-08-15,7,1997,56,790000,Unknown,5.7,Tropical Cyclone,1.0,67369,120.262,29.9379,Medium
Tai Po,1997-08-13,3,1997,0,4000,Unknown,3.9,Torrential Rain,2.0,1368,114.116,22.3798,Low
"Provinces - Guangdong, Hong Kong",1997-08-02,6,1997,65,0,Unknown,5.3,Tropical Cyclone,1.0,34586,114.815,22.6192,Medium
"Provinces - Jiangxi, Zhejiang, Guizhou, Guangdong, Guangxi, Fujian",1997-07-06,27,1997,287,200000,Unknown,7.4,Torrential Rain,1.0,832682,115.176,26.0024,High
"Provinces: Guangdong (Liezhou Peninsula), Hainan Island",1996-09-20,12,1996,38,0,100000000,5.6,Tropical Cyclone,1.0,36474,109.807,19.4326,Medium
"Provinces: Fujian, Guangdong",1996-08-06,5,1996,266,100000,200000000,6.1,Torrential Rain,2.0,138167,118.021,25.6245,Medium
"Guangxi Province: Guigang, Guiping, Pingnan, Tengxian, Cangwu, Wuzhou",1996-07-19,7,1996,0,0,Unknown,5.1,Torrential Rain,1.0,17021,111.032,23.3441,Medium
"Provinces: Zhejiang, Anhui",1996-06-30,9,1996,43,271200,450000000,6.6,Torrential Rain,2.0,236745,118.323,30.8939,High
"Maryland, Pennsylvania",1996-06-13,13,1996,340,37770,Unknown,6.8,Torrential Rain,2.0,233546,111.292,25.1596,High
"Central and Eastern Yemen Provinces: Shabwa, Maarib, Abyan, Hadramut, Al-Jawf ",1996-05-30,4,1996,0,22800,1200000000,5.8,Torrential Rain,1.0,150091,115.873,27.3146,Medium
"Provinces: Jilin, Liaoning",1995-07-25,35,1995,123,3000000,Unknown,7.4,Torrential Rain,2.0,325414,125.154,42.5413,High
"Provinces: Sichuan, Hubei",1995-07-05,15,1995,65,25000,Unknown,6.8,Torrential Rain,2.0,231371,108.209,30.1801,High
"Provinces: Jiangxi, Hunan, Hubei, Anhui, Zhejiang, Fujian, Guangxi, Guangdong, Guizhou, Jiangsu",1995-05-15,93,1995,1530,7000000,14400000000,8.5,Torrential Rain,2.0,1668229,112.827,28.2914,High
Guangdong Province,1995-04-20,2,1995,40,300000,Unknown,5.5,Torrential Rain,1.0,169667,113.285,22.8414,Medium
"Shandong Province: Longtan Waterfall, Laoshan Mountains",1994-10-19,2,1994,17,0,Unknown,4.4,Torrential Rain,1.0,13150,117.653,36.1734,Medium
"Zhejiang Province - WenzhouJiangsu Province - Shanghai, Suzhou",1994-08-21,4,1994,762,600000,1260000000,6.2,Tropical Cyclone,2.0,206025,120.692,31.1521,Medium
"Hong Kong, Southern Guangdong Province",1994-08-06,5,1994,14,0,Unknown,4.3,Tropical Cyclone,1.0,3849,114.207,22.5094,Medium
"Provinces: Heilongjiang, Jilin, Liaoning, Inner Mongolia Northern autonomous region",1994-07-23,22,1994,128,2000000,1500000000,7.7,Torrential Rain,2.0,1066165,125.126,46.1544,High
"Macau, Hong Kong - Zhuhai, Shenzhen",1994-07-22,6,1994,10,2000,Unknown,4.6,Torrential Rain,2.0,2987,114.116,22.4405,Medium
Hubei Province,1994-07-11,8,1994,41,0,95000000,6.2,Torrential Rain,1.0,183806,112.268,31.1973,Medium
"Provinces: Guangdong, Guangxi, Hunan, Jiangxi, Fujian, Zhejiang",1994-06-09,21,1994,719,0,3500000000,7.6,Torrential Rain,2.0,1015419,113.189,25.7177,High
"Fujian Province - Sanming, Nanping, Longyan, Putian, Quanzhou, Fuzhou",1994-05-01,9,1994,70,2000,Unknown,6.3,Torrential Rain,2.0,121675,118.128,25.9398,Medium
Jiangxi Province ,1994-05-01,3,1994,95,0,161000000,5.7,Torrential Rain,1.0,165721,116.038,27.2874,Medium
"Kowloon, New Territories, Lantau Island, Hong Kong Island ",1993-11-04,12,1993,2,0,Unknown,4.1,Tropical Cyclone,1.0,1016,114.142,22.4214,Medium
"Northern part of the New Territories -Villages: Sik Wu, Tin Ping and Siu Hang. Shenzhen River",1993-09-27,2,1993,0,1200,Unknown,3.0,Torrential Rain,2.0,280,114.167,22.5233,Low
Qinghai Province - Gonghe County in Hainan Tibet Autonomous Prefecture. Dam burst at Gouhou reservoir,1993-08-27,1,1993,242,3000,26000000,3.8,"Dam/Levy, break or release",1.0,6844,100.265,36.1271,Low
Yunnan Province -  ,1993-08-21,12,1993,152,21000,78000000,6.0,Torrential Rain,1.0,77049,101.704,24.4756,Medium
"Shandong Province - 28 counties including: Linyi, Tengzhou, Dingtao. -- Jiangsu Province - Suzhou,Wuxi and Changzhou. Wujiang city. Rivers: Wujiang, Wuxian, Kunshan, Yangtze and Xinyihe. -- Zhejiang Province - 60 towns and 300 villages were flooded",1993-08-04,20,1993,101,2577000,121000000,6.4,Torrential Rain,1.0,112505,115.918,36.4802,High
"Sichuan Province - Leshan city, Leshan prefecture. Emeishan city, Mount Emei area",1993-07-27,6,1993,41,7000,27000000,4.8,Torrential Rain,1.0,9596,103.653,29.7518,Medium
"Zhejiang Province - floods in more than one third of the province. -- Jiangxi Province - washed out farmland in 36 counties. -- Hunan Province - Yiyang, Changde, Yueyang and Changsha areas. Jingzhou and Tongdao counties. Xiangjiang River. -- Fujian Province - northern section. -- Anhui Province. -- Rivers: Upper reaches of the Qiantang, Minjiang, Wujiang and Yuanjiang rivers; tributaries of the Pearl river; Ganjiang and Xiangjiang rivers, two tributaries of the Yangtze",1993-06-15,24,1993,132,375000,860000000,7.0,Torrential Rain,1.0,432773,117.867,27.9846,High
"Provinces - Zhejiang, Fujian, Shanghai",1992-08-29,5,1992,168,5000000,350000000,5.9,Torrential Rain,1.0,166182,119.806,27.8313,Medium
"Guangdong Province - Chaoshan Area (Shantou, Jieyang, Chaozhou)",1992-08-16,7,1992,6,0,Unknown,5.4,Tropical Cyclone,1.0,33606,115.901,23.6313,Medium
"Inner Mongolia - Xilamulun He, Hohnut, Wanjia, ShuimoProvinces - Shaanxi, Gansu",1992-08-01,20,1992,111,0,110000000,6.9,Torrential Rain,1.0,432937,105.08,35.8327,High
"Western Guangdong Province - Zhanjiang, Maoming, Yangjiang",1992-07-22,2,1992,1,0,120000000,5.2,Tropical Cyclone,1.0,74669,111.673,22.2644,Medium
Hunan Province - Dongting and Boyang Lakes; Yueyang,1992-07-02,20,1992,96,254472,56660000,6.4,Torrential Rain,2.0,65829,112.615,28.5125,High
Guangxi Province - Guilin,1992-07-02,4,1992,0,0,Unknown,5.0,Torrential Rain,2.0,12868,110.295,25.3272,Medium
"Provinces - Fujian, Zhejiang, Jiangxi",1992-06-29,16,1992,228,172000,76000000,7.1,Torrential Rain,2.0,392988,119.18,27.3793,High
"Hong Kong - Kowloon, Kwun tong, Sai Kung, Sha Tin, Tsuen Wan",1992-06-13,3,1992,0,31,Unknown,3.6,Torrential Rain,1.0,1232,114.131,22.3793,Low
"Provinces - Sichuan, Guizhou, Yunnan",1992-06-12,51,1992,93,120000,3700000,7.4,Torrential Rain,1.0,491147,105.471,27.9919,High
Hong Kong,1992-04-01,38,1992,5,3000,Unknown,5.0,Torrential Rain,2.0,1370,114.116,22.3716,Medium
"Provinces - Guizhou, Sichuan",1992-03-15,49,1992,59,0,70000000,7.4,Torrential Rain,1.0,542309,105.41,28.7729,High
"Provinces - Guangdong, Jiangxi, Fujian, Hunan",1992-03-15,40,1992,248,210000,170000000,7.6,Torrential Rain,2.0,545359,113.878,25.1128,High
Provinces - Sichuan,1991-08-09,4,1991,456,0,566000000,6.3,Torrential Rain,1.0,554217,103.821,30.0516,Medium
Shanghai,1991-08-08,2,1991,16,20000,Unknown,3.9,Torrential Rain,1.0,4350,121.424,31.093,Low
"Provinces - Jilin, Heilongjiang, Yanbian Autonomous Region on North Korean Border",1991-07-23,12,1991,66,160000,364000000,6.8,Tropical Cyclone,1.0,508812,126.941,44.8909,High
Eastern Shandong Province,1991-07-19,2,1991,8,0,Unknown,5.3,Torrential Rain,1.0,94812,120.096,36.338,Medium
Northern Hunan Province,1991-07-02,17,1991,101,160000,Unknown,6.4,Torrential Rain,1.0,134660,111.681,28.1527,High
Provinces - Northern Zhejiang - Hangzhou,1991-07-01,9,1991,0,0,300000000,5.5,Torrential Rain,1.0,32703,120.241,30.1818,Medium
"Provinces - Sichuan, Guizhou, Anhui, Hubei",1991-07-01,18,1991,750,615000,3000000000,7.0,Torrential Rain,1.0,589049,106.342,29.1481,High
Beijing area,1991-06-12,3,1991,22,4000,2000000,5.1,Torrential Rain,2.0,19050,116.436,40.2125,Medium
"Provinces - Guizhou, Anhui, Jiangsu, Sichuan, Hunan, Hubei, Gansu, Guangxi",1991-05-18,29,1991,400,600000,75000000000,8.0,Torrential Rain,2.0,1682864,110.256,28.7346,High
"Provinces - Fujian, Zhejiang, Jiangsu, Anhui, Shanghai",1990-08-19,21,1990,559,4041000,1400000000,7.0,Tropical Cyclone,1.0,457815,118.563,29.3795,High
"Provinces - Guangdong, Fujian",1990-07-29,7,1990,108,100800,83000000,6.3,Tropical Cyclone,1.0,292874,115.015,24.2973,Medium
"Provinces - Sichuan, Shaanxi",1990-07-04,16,1990,72,71000,211000000,6.8,Torrential Rain,1.0,438797,106.436,32.2032,High
"Provinces: Fujian, Guangdong, Zhejian",1990-06-23,7,1990,86,0,44000000,6.4,Tropical Cyclone,1.0,377866,117.867,25.6948,High
Yunnan Province,1990-06-18,5,1990,108,4000,Unknown,6.2,Torrential Rain,1.0,340844,101.857,24.7683,Medium
Hunan Province,1990-06-05,28,1990,363,350000,592000000,6.8,Torrential Rain,1.0,206490,111.788,27.4176,High
Hainan Island,1989-10-02,4,1989,31,0,75000,4.9,Tropical Cyclone,1.0,18207,109.987,19.1458,Medium
"Provinces: Fujian, Zhejiang",1989-07-20,10,1989,104,20000,Unknown,6.3,Tropical Cyclone,1.0,215082,119.575,27.3487,Medium
"Sichuan Province - Chongqing City , Nanchong, Daxian, Wanxian, Fuling",1989-07-27,56,1989,3000,0,Unknown,6.6,Torrential Rain,1.0,70236,107.277,30.2798,High
Jilin Province,1989-07-18,9,1989,63,0,54000000,6.2,Torrential Rain,1.0,192272,126.474,43.5586,Medium
Heilongjiang Province - Qiqihar,1989-07-21,11,1989,24,16000,Unknown,5.1,Torrential Rain,1.0,12533,133.028,45.8679,Medium
"Provinces: Zhejiang, Jiangsu",1989-07-20,6,1989,0,0,Unknown,5.7,Tropical Cyclone,1.0,85600,120.795,31.0772,Medium
Anhui Province,1989-07-19,9,1989,3,0,30000000,4.8,Torrential Rain,1.0,7716,116.927,32.3978,Medium
"Qinghai Province - Haibei Tibet Autonomous Prefecture, Xining",1989-07-16,12,1989,107,1413,Unknown,5.0,Torrential Rain,1.0,8440,101.941,36.391,Medium
0,1989-07-10,8,1989,50,48000,Unknown,6.2,Torrential Rain,1.0,207057,106.757,39.1329,Medium
Quangxi Province - Nanning,1989-07-07,14,1989,50,410000,Unknown,5.4,Torrential Rain,1.0,19169,108.437,23.2505,Medium
Sichuan Province,1989-07-11,13,1989,814,0,Unknown,6.6,Torrential Rain,1.0,321489,104.284,30.7561,High
Hunan Province,1989-06-30,21,1989,18,22400,16000000,6.6,Torrential Rain,1.0,178424,111.727,27.5095,High
Hong Kong,1989-07-06,5,1989,1377,0,31250000,3.7,Torrential Rain,1.0,1005,114.154,22.268,Low
Zhejiang Province - Lanxi ,1989-07-03,5,1989,38,30000,Unknown,4.4,Torrential Rain,1.0,4578,119.4,29.0801,Medium
Quangxi Zhuang Autonomous Region: Tian'e County - Yanlai Township,1989-06-21,10,1989,28,0,Unknown,4.9,Torrential Rain,1.0,8667,107.033,24.8295,Medium
Qinghai Province,1989-06-15,16,1989,3,0,670000,6.3,Torrential Rain,1.0,122520,96.0144,34.5846,Medium
Guandong Province,1989-05-21,16,1989,84,1000000,Unknown,6.2,Tropical Cyclone,1.0,90099,113.706,22.8759,Medium
Fujian Province - ,1988-09-20,7,1988,9,51000,1200000,5.8,Tropical Cyclone,1.0,100699,118.345,25.7425,Medium
