Detailed Location,Began,Duration(Days),Year,Dead,Displaced,Damage(USD),Magnitude,Main Cause,Severity,Affected(sqkm),Longitude,Latitude,Magnitude Scale
"Entire communities in Gansu province's Zhouqu district,Yanji, Yanbian Korean Autonomous Prefecture in Jilin Province",2010-07-27,16,2010,65,180,Unknown,7.0,Torrential Rain,1.5,442536,99.9857,37.8435,High
"Current flooding is concentrated in Hubei, Sichuan and Shaanxi provinces. Dead and displaced entries are estimates for summer, 2010 flooding total to date",2010-07-23,12,2010,1100,300000,Unknown,7.4,Torrential Rain,2.0,1049485,111.074,31.5774,High
Hong Kong,2010-07-21,3,2010,1,15000,Unknown,4.7,Tropical Storm,1.5,10513,114.01,22.6733,Medium
"East China, Jiangxi, Anhui provinces, Yangtze River",2010-07-07,17,2010,0,10000,Unknown,6.8,Torrential Rain,1.5,235548,115.886,29.1384,High
"Chongqing, Fujian, Sichuan, Jiangxi, Hunan and Qinghai, southern China",2010-07-01,15,2010,600,2400000,Unknown,6.9,Torrential Rain,1.0,575176,113.171,28.0056,High
Villages in parts of northwest China's Qinghai Province,2010-07-06,8,2010,15,0,Unknown,6.5,Torrential Rain,1.0,396656,97.1282,39.4866,High
Southern China,2010-05-15,45,2010,379,2370000,Unknown,7.2,Torrential Rain,1.5,234212,115.483,26.4442,High
"South China, Guilin City,  Guangxi Zhuang Autonomous Region",2010-04-20,2,2010,0,0,Unknown,4.6,Torrential Rain,1.0,19903,111.13,25.1481,Medium
Sichuan,2009-08-28,5,2009,12,118000,Unknown,7.4,Torrential Rain,1.0,4814280,104.633461,28.76561,High
At least 14 villages in Lingao and Changjiang counties of Hainan,2009-08-07,4,2009,0,7250,Unknown,5.3,Torrential Rain,1.5,30538,109.773,19.1227,Medium
Southwestern Sichuan,2009-07-26,10,2009,22,0,Unknown,6.3,Torrential Rain,1.0,201114,101.18,30.859,Medium
Southern China,2009-07-01,6,2009,20,700000,Unknown,6.7,Torrential Rain,1.5,542051,112.712,25.3072,High
"Southern China, Hunan Province, Chenzhou City,Guangxi Zhuang Autonomous Region in South China, Guangdong province, some provinces along the Yangtze river.",2009-05-19,3,2009,0,0,Unknown,5.3,Torrential Rain,1.0,62468,71.2878,38.5131,Medium
"Southern  China, Hainan Island",2008-10-10,7,2008,2,50000,Unknown,5.5,Torrential Rain,1.5,29937,109.819,19.1585,Medium
Chongzuo,2008-09-26,4,2008,0,0,Unknown,4.4,Torrential Rain,1.0,6852,108.721,21.9351,Medium
"Leizhou Peninsula, Southwestern Guangdong",2008-08-08,4,2008,0,42000,Unknown,4.8,Tropical Storm,2.0,8409,113.151,22.5473,Medium
"Southwestern China, Yunan Province, Jinghong",2008-08-07,5,2008,20,0,42000000,5.3,Torrential Rain,1.5,24614,101.548,22.6193,Medium
"Eastern ChinaAnhui Province - counties: Yuexi, Jinzhai. Dabieshan mountains.Fujian Province - Cangnan area, Fuzhou, Quanzhou and Putian.Zhejiang Province - Wenzhou area.Jiangxi -  Jiujiang--Taiwan - Tainan county. Hualien, Pingtung",2008-07-28,12,2008,0,93000,356000000,7.1,Tropical Storm,2.0,533930,114.415,32.5559,High
"Southwestern China, Sichuan, Guandong and Jiangxi provinces, Shenzen City",2008-06-24,4,2008,0,0,Unknown,6.4,Tropical Storm,1.5,373961,112.304,23.5424,High
